Organization,Cohort Date,Nurse ID,Employment Start Date,Type of Unit,Age,Gender,Nursing Degree Received,GPA,Employment Status,Previous health care work experience,Leave,Type of Leave,Termination,Termination Date,Tenure,Termination Reason,ID,Cleaned Education,GPA_Numeric
Emory University Hospital Midtown,	08/08/2025,	0480100,08/04/2025,Medical/Surgical Inpatient Unit,23.0,Female,BSN,3.5 And Above,Full-time,,No,,No,,,,20576,Albany State University,3.75
Emory University Hospital,	10/14/2022,	0457429,11/07/2022,Orthopedic Inpatient Unit,27.0,Male,BSN,3.0 - 3.49,,,No,,Yes,09/20/2023,0.8684931506849315,Obtained position with a more desirable commute,20591,Albany State University,3.25
Emory Decatur Hospital,	04/01/2025,	0476508,03/17/2025,Emergency Department,24.0,Female,ADN/ASN,3.0 - 3.49,Full-time,,No,,No,,,,20596,Albany State University,3.25
Emory University Hospital,	10/28/2024,	0448283,10/14/2024,Medical/Surgical Intermediate Unit,26.0,Female,ADN/ASN,3.0 - 3.49,Full-time,,No,,No,,,,20598,Albany State University,3.25
Emory University Hospital,	10/28/2024,	0465066,10/14/2024,Transplant Unit,24.0,Female,BSN,3.0 - 3.49,Full-time,,No,,No,,,,20599,Albany State University,3.25
Emory University Hospital,	10/28/2024,	0474441,10/21/2024,General Medical Inpatient Unit,23.0,Female,ADN/ASN,3.0 - 3.49,Full-time,,No,,No,,,,20600,Albany State University,3.25
Emory University Hospital Midtown,	10/25/2024,	0448683,10/15/2024,Emergency Department,24.0,Female,ADN/ASN,3.0 - 3.49,Full-time,,No,,No,,,,20601,Albany State University,3.25
Emory University Hospital Midtown,	10/25/2024,	0472184,11/18/2024,General Medical Inpatient Unit,38.0,Female,ADN/ASN,2.5 - 2.99,Full-time,,No,,No,,,,20602,Albany State University,2.75
Emory University Hospital Midtown,	10/25/2024,	0474495,10/14/2024,Emergency Department,27.0,Female,ADN/ASN,2.5 - 2.99,Full-time,,No,,No,,,,20603,Albany State University,2.75
Emory University Hospital Midtown,	10/25/2024,	2138731,10/14/2024,General Medical Inpatient Unit,28.0,Female,ADN/ASN,3.5 And Above,Full-time,,No,,No,,,,20604,Albany State University,3.75
Emory Decatur Hospital,	08/20/2024,	0459182,08/12/2024,Observation Unit,24.0,Female,BSN,3.0 - 3.49,Full-time,,No,,No,,,,20605,Albany State University,3.25
Emory University Hospital,	08/05/2024,	2401326,07/29/2024,Telemetry Unit,23.0,Female,BSN,3.5 And Above,Full-time,,No,,Yes,11/09/2025,1.2821917808219179,Other/Unknown,20606,Albany State University,3.75
Emory Saint Joseph’s Hospital,	07/12/2024,	0471163,07/15/2024,Medical/Surgical Inpatient Unit,44.0,Female,ADN/ASN,3.5 And Above,Full-time,,No,,No,,,,20607,Albany State University,3.75
Emory University Hospital Midtown,	04/05/2024,	0468927,04/01/2024,Medical ICU Inpatient Unit,38.0,Female,ADN/ASN,2.5 - 2.99,Full-time,,No,,No,,,,20608,Albany State University,2.75
Emory Johns Creek Hospital,	02/22/2024,	0469487,03/18/2024,Medical/Surgical Inpatient Unit,38.0,Female,ADN/ASN,3.0 - 3.49,Full-time,,No,,No,,,,20609,Albany State University,3.25
Emory University Hospital Midtown,	10/27/2023,	0430649,10/01/2023,Orthopedic Inpatient Unit,38.0,Female,Diploma,3.0 - 3.49,Full-time,,No,,No,,,,20610,Albany State University,3.25
Emory University Hospital Midtown,	04/01/2022,	0432057,04/15/2022,Cardiac/Heart/Vascular Critical Care,40.0,Female,ADN/ASN,2.5 - 2.99,,,No,,No,,,,20612,Albany State University,2.75
Emory University Hospital Midtown,	10/29/2021,	0450712,10/24/2021,Emergency Department,24.0,Female,ADN/ASN,3.0 - 3.49,,,No,,Yes,11/20/2022,1.073972602739726,Other/Unknown,20613,Albany State University,3.25
Emory Johns Creek Hospital,	07/12/2024,	0473360,08/19/2024,Neonatal ICU Inpatient Unit,22.0,Male,ADN/ASN,3.0 - 3.49,Full-time,,No,,Yes,10/31/2024,0.2,Other/Unknown,20614,Albany State University,3.25
Emory University Hospital,	09/27/2021,	2129959,10/03/2021,Telemetry Unit,30.0,Female,ADN/ASN,3.0 - 3.49,,,No,,No,,,,20615,Albany State University,3.25
Emory University Hospital Midtown,	08/13/2021,	0445562,02/28/2021,Orthopedic Inpatient Unit,31.0,Female,ADN/ASN,3.0 - 3.49,,,No,,Yes,01/18/2023,1.8876712328767122,Unsatisfactory performance,20616,Albany State University,3.25
Emory Long Term Acute Care,	10/13/2020,	1451315,10/05/2020,Medical/Surgical Intermediate Unit,30.0,Male,Accelerated BSN,3.5 And Above,,,No,,Yes,02/12/2023,2.356164383561644,Other/Unknown,20617,Albany State University,3.75
Emory University Hospital Midtown,	04/01/2020,	0419873,02/28/2020,Orthopedic Inpatient Unit,48.0,Female,ADN/ASN,2.5 - 2.99,Full-time,,No,,No,,,,20618,Albany State University,2.75
Emory University Hospital,	08/01/2019,	2275291,07/22/2019,Neurology/Neurosurgical ICU Inpatient Unit,25.0,Male,Accelerated BSN,3.5 And Above,,,No,,No,,,,20619,Albany State University,3.75
Emory University Hospital,	07/23/2018,	0425444,,Mother/Baby Unit,24.0,Female,BSN,3.0 - 3.49,,,No,,No,,,,20620,Albany State University,3.25
Emory University Hospital,	02/23/2018,	0417608,,General Medical Inpatient Unit,23.0,Female,BSN,3.0 - 3.49,,,No,,No,,,,20621,Albany State University,3.25
Emory University Hospital,	03/10/2014,	639368,,Medical/Surgical Inpatient Unit,25.0,Female,BSN,3.0 - 3.49,,,No,,No,,,,20622,Albany State University,3.25
